STO_Nr;STO_DEU;STO_LAT;EIGNUNG;WB_VERJ_ENT;WB_PFL;BESCHREIBUNG;HOEHENVERBREITUNG;VEGETATION;VORWALDBAUMARTEN;GESGR_Nr;VERDRISK;PRIORITAET
19f;Waldsimsen-Tannen-Buchenwald auf Pseudogley;Luzulo-Abieti Fagetum, Ausb. auf Pseudogley;"PR: Wuchskraft recht hoch , Baumartenwahl eingeschränkt.
NG: Gute Schutzwirkung, da meist stabile Standorte; Dauerbestockung!
NS: Ohne Besonderheiten.
";"N: Hauptbaumarten unter Schirm, im Lichtschacht und Seitenlicht. Verjüngung fördern durch kleinflächige Eingriffe.
Einzel- bis Gruppenplenterung.
U: Überführung in Plenterstruktur ist zentral: Früh punktuelle Vorverjüngung auf ganzer Fläche. Bäume mit grösster Lebenserwartung stehen lassen. Hoher Ta-Anteil wertvoll.
";"N: Schlagpflege genügt i.d.R.
Mischungsform: einzeln bis truppweise.
U: Förderung der Plenterstruktur.
Ta fördern. ";"Recht wüchsige Mischbestände von Ta, Fi und Bu auf flachen Rücken und mässig steilen Hanglagen. 
Feuchter und basenärmer als 18, daher mit zeitweise vernässtem und oberflächlich versauertem Boden.";"obermontan; 1000-1400m";"C: Breiter Wurmfarn, Hainmoos, Wald-Frauenhaar, Heidelbeere, Wald-Hainsimse 
K: Wald-Schachtelhalm, Pariser Hexenkraut
L: Hoher Schwingel
";VBe, RHol;"18, 19, 
20, 21";3;
20;Hochstauden-Tannen-Buchenwald ;Adenostylo alliariae-Abieti-Fagetum typicum;"PR: Produktiver Standort, aber mit ungünstiger, schneereicher Lage; für Produktion wenig geeignet.
NG: Erhöhte Bedeutung; Dauerbestockung und eine grosse Standfestigkeit der Bäume haben oberste Priorität.
NS: Erhöhte Bedeutung durch Feuchtigkeit und üppige Hochstauden. 
";"Starkes Vorkommen von Hochstauden und Farnen hemmen die Verjüngung. Verjüngung einleiten und fördern durch Schaffung von kleinen Lücken oder Seitenlicht (Schlitze) an verjüngungsgünstigen Stellen (trockene, warme oder erhöhte Stellen, Moderholz).
Keine diffusen Auflichtungen, da damit Hochstauden und Farne gefördert werden. Bei Fehlschlagen der Naturverjüngung Stützpunktpflanzungen vornehmen.
Einzel- bis Gruppenplenterung. Hoher Ta-Anteil wertvoll. 
";"Kann sich auf Schlagpflege beschränken; wo nötig Ta und BAh im Jungwuchs herauspflegen. Standfeste Bu und Ta als Bestandesgerüst stehen lassen.
Mischungsform: Einzeln bis truppweise.
";"Ziemlich wüchsige Mischbestände von Ta, Bu, Fi und BAh an schattigen Hängen mit  starker Schneeablagerung; dadurch reich an Hochstauden. 
Boden feuchter, ton- und basenreicher als 18, luftfeuchter und kälter als 20E, jedoch noch immer hoch aktiv und im Oberboden gut durchlüftet.

";"obermontan; 1000-1400m";"C: Breiter Wurmfarn  
E: Echter Wurmfarn, Wald-Veilchen
F: Weisse Pestwurz, Wald-Segge, Gew. Schlüsselblume
J: Grauer Alpendost, Rundblättriger Steinbrech 
K: Welliges Sternmoos, Wald-Schachtelhalm
L: Gelappter Schildfarn, Haargerste, Schwarzes Geissblatt
";−;"18, 19, 
20, 21";3;
20E;Waldgersten-Tannen-Buchenwald;Adenostylo alliariae-Abieti-Fagetum hordelymetosum;"PR: Sehr produktiver Standort mit erhöhter Vielseitigkeit. Holzernte durch steile Lagen oder feuchten Boden teils erschwert.
NG: Starke Gefährdung, v. a. in Bacheinhängen; Dauerbestockung und eine grosse Standfestigkeit der Bäume haben oberste Priorität.
NS: Feuchte bietet besonderen Lebensraum, vor allem wenn basenhaltig.
";"N: Hauptbaumarten unter Schirm, im Lichtschacht oder Seitenlicht.
Verjüngung durch kleine Verjüngungshiebe (Es, BAh) oder Schaffen von Lichtschächten oder Seitenlicht (Ta, Bu, BAh, Fi).
Gruppenplenterung; in flacheren Partien mit viel BAh und Es kleinflächiger Femelschlag.
U: Überführung in Plenterstruktur ist erwünscht, im Schutzwald zwingend; früh punktuelle Vorverjüngung auf ganzer Fläche einleiten. Einzelbäume mit grösster Lebenserwartung stehen lassen. Hoher Ta-teil wertvoll.
";"N: Bei Plenterung Eingriffe zur Holzernte und Strukturausformung, Pflege kann sich auf Schlagpflege beschränken.
In flächigen Verjüngungen Jungwaldpflege ab Dickung (Mischungsregulierung, Stabilitätsauslese) Durchforstungen bis BH 1.
Mischungsform: Einzeln bis truppweise, Es und BAh bis gruppenweise.
U: Punktuelle Eingriffe zur Förderung einer kleinflächig stufigen Struktur.
Schutzwald: In Wäldern mit bes. Schutzfunktion starke Einzelbäume durch Freistellung ab Mitte Dickung ausbilden.
";Wüchsige Mischbestände von Ta, Bu und Fi an flachen Hängen aller Expositionen, teilweise auch in steileren Runsen. Öfters BAh, Es und BUI beigemischt. Feuchter als 18, daher Unterwuchs üppiger und Boden aktiver, nährstoffreicher, meist tiefgründig, oft etwas vergleyt. Teilweise Kalk im Untergrund. ;"obermontan; 900-1400m";"E: Ährige Rapunzel, Sanikel
F: Wald-Segge, Gew. Schlüsselblume, Weisse Pestwurz
H: Wald-Ziest, Wolliger Hahnenfuss
J: Rundblättriger Steinbrech
K: Welliges Sternmoos, Hexenkraut, Hängende Segge
L: Haargerste, Schwarzes Geissblatt
";−;"18, 19, 
20, 21";3;
21;Ahorn-Buchenwald;Aceri-Fagetum;"PR: Wenig produktiver Standort, aber mit ungünstiger, schneereicher Lage; kein Wirtschaftswald.
NG: Erhöhte Bedeutung; Dauerbestockung und eine grosse Standfestigkeit der Bäume haben oberste Priorität.
NS: Feuchte und üppige Hochstauden. 
";"Starkes Vorkommen von Hochstauden und Farnen kann die Verjüngung hemmen. Verjüngung einleiten und fördern durch Schaffung von kleinen Lücken oder Seitenlicht (Schlitze) an verjüngungsgünstigen Stellen (trockene, warme oder erhöhte Stellen, Moderholz).
Einzel- bis Gruppenplenterung.";"Kann sich auf Schlagpflege beschränken; wo nötig BAh im Jungwuchs herauspflegen. 
Mischungsform: Einzeln bis truppweise.";"Schwach wüchsig, Bestand aufgelichtet mit sehr kurzen BAh und Bu sowie vereinzelten Fi.
Sonderstandort mit sehr langer Schneebedeckung, direkt unterhalb Kammlagen.
";"obermontan, hochmontan; 1200-1500m";"C: Breiter Wurmfarn  
E: Echter Wurmfarn, Wald-Veilchen
F: Weisse Pestwurz, Wald-Segge, Gew. Schlüsselblume
J: Grauer Alpendost, Rundblättriger Steinbrech, Alpen-Milchlattich, Zweiblütiges Veilchen
K: Welliges Sternmoos, Wald-Schachtelhalm
L: Gelappter Schildfarn, Haargerste, Schwarzes Geissblatt
";−;"18, 19, 
20, 21";2;4
22;Hirschzungen-Ahornwald;Phyllitido-Aceretum;"PR: Ohne Bedeutung.
NG: Durch Steinschlagsituation wichtiger Schutzwald.
NS: Dynamischer, vielfältiger und seltener Sonderstandort. Deshalb sehr wertvoll.
";"Verjüngung in lichten Beständen meist gut; teilweise durch Steinschlag bedrängt.
Keine Massnahmen nötig, in Sonderfällen punktuell auflichten.";"Bei besonderer Schutzfunktion auf grosse Stammzahl achten, ebenso standfeste Einzelbäume fördern. 
Einflussmöglichkeiten gering.";"Ziemlich bis mässig wüchsige, teils lückige Laubmischwälder auf Schutthalden, die von BAh oder von Li und Es dominiert werden. Oft schiefe oder säbelwüchsige Stämme mit Verletzungen.


";"untermontan; 400-800m";"KS: Wenig bis gut ausgebildet, Hirschzunge, Mondviole, Geissbart.
SS: Wenig bis gut ausgebildet. Häufig mit Schwarzem Holunder und Hasel.";−;"22, 23, 
24";2;4
22A;Geissbart-Ahornwald;Arunco-Aceretum;"PR: Kein Wirtschaftswald, steil und felsig-rutschig, nur beschränkt waldfähig.
NG: Oberflächlich oft bewegt, aber meist mit solidem Untergrund. Dauerbestockung anstreben.
NS: Durch offenen Charakter und mergelig-felsigen Untergrund erhöhte Vielfalt.";"In sehr lichtem Bestand für alle Baumarten meist reichlich. 
";"Nicht notwendig.
Schutzwald: punktuelle Eingriffe bei Bedarf.
";"Sehr schwach wüchsige Mischwälder an Steilhängen, vorwiegend nordexponiert. Unterwuchs grasig und artenreich. 
Boden mergelig, wechselfeucht, oberflächlich oft rutschig. 
Extrem flachgründig, nur lückig bestockt. ";"untermontan; 700-1000m";"E: Ährige Rapunzel
L: Kahler Alpendost, Alpen-Hagrose, Alpengeissblatt, Wald-Geissbart
O: Buntes Reitgras, Schlaffe Segge, Berg-Flockenblume, Wald-Witwenblume";−;"22, 23, 
24";3;3
23;Mehlbeer-Ahornwald;Sorbo-Aceretum;"PR: Ohne Bedeutung.
NG: Durch Steinschlagsituation und steile Lage wichtiger Schutzwald.
NS: Dynamischer, vielfältiger und seltener Sonderstandort. Deshalb sehr wertvoll.
";"Verjüngung in lichten Beständen problemlos; teilweise durch Steinschlag bedrängt.
Keine Massnahmen nötig, in Sonderfällen punktuell auflichten.
";"Bei besonderer Schutzfunktion auf grosse Stammzahl achten, ebenso standfeste Einzelbäume fördern. 
Einflussmöglichkeiten gering.";"Wenig wüchsige, lückige Laubmischwälder auf Schutthalden, die von BAh oder von Li und Es dominiert werden. Oft schiefe oder säbelwüchsige Stämme mit Verletzungen.

";"obermontan; 1100-1400m";"KS: Wenig bis gut ausgebildet, grasig, mit Trockenzeigern.
SS: Wenig bis gut ausgebildet. Häufig mit Mehlbeere und Hasel.";−;"22, 23, 
24";1;2
24*;Typischer Ulmen-Ahornwald;Ulmo-Aceretum typicum;"PR: Ohne Bedeutung.
NG: Steile Lage in Lawinenrunse, dadurch wichtiger Schutzwald.
NS: Dynamischer, vielfältiger und seltener Sonderstandort. Deshalb sehr wertvoll.
";"Verjüngung in lichten Beständen variabel; teilweise durch Steinschlag und durch Lawinen bedrängt.
Keine Massnahmen nötig, in Sonderfällen punktuell auflichten.";"Bei besonderer Schutzfunktion auf grosse Stammzahl achten, ebenso standfeste Einzelbäume fördern. 
Einflussmöglichkeiten gering. Schneedruck beachten.";"Ziemlich wüchsige, lückige Laubmischwälder in Lawinenrunsen, die von BAh oder BUl dominiert werden. Oft schiefe oder säbelwüchsige Stämme.

";"obermontan, hochmontan; 1300-1500m";"KS: Gut ausgebildet, krautig-grasig.
SS: gut ausgebildet. Mit Weiden und AE.";−;"22, 23, 
24";2;3
26;Ahorn-Eschenwald;Aceri-Fraxinetum;"PR: Sehr produktiver Standort für Edellaubhölzer; nutzbar v.a. bei grösseren Flächen; Vernässungen schränken Befahrbarkeit ein und erschweren Holzernte.
NG: Oft vernässt; in Hanglagen mit grosser Bedeutung; biologische Entwässerung und Dauerbestockung sind zentral.
NS: Als feuchter bis nasser Standort von grosser Bedeutung, besonders wenn basenreich.
";"N: Vorverjüngung und  Anwuchs unter lichtem Schirm und in kleinen Lücken, für Aufwuchs Öffnungen schaffen.
Verjüngungshiebe in Gruppen- bis Horstgrösse. Kurze Verjüngungszeiträume.
Femelschlag, eher grossflächig.
Im Schutzwald: BAh mit grösserem Anteil; Aufwuchs in Lichtschächten. Hier: Kleinflächiger Femelschlag bis Gruppenplenterung.
";"Mischungsregulierung ab Beginn Dickung; Durchforstung bis Ende BH 1; kurze Intervalle.
Mit positiver Auslese und konsequenter Kronenpflege: wertvolle Sortimente bei einer Umtriebszeit von ca. 80 Jahren.
Mischungsform: Trupp- bis gruppenweise.
Im Schutzwald: Ta einzeln bis truppweise; Laubhölzer trupp- bis gruppenweise; Standfestigkeit der Einzelbäume und Dauerbestockung als Hauptziel.
";"Sehr wüchsige Laubmischwälder mit üppiger Kraut- und Strauchschicht, vorwiegend in Hangfuss- und Muldenlagen. 
Boden aktiv, schwach sauer bis basisch, zeitweise bis in den Oberboden vernässt.
";"submontan, untermontan; 500-1000m";"E: Waldmeister, Sanikel, Wald-Veilchen
F: Wald-Segge, Berg-Goldnessel, Baumtropf
H: Wald-Ziest, Wald-Springkraut, Rasen-Schmiele
I: Sumpf-Dotterblume, Rote Waldnelke, Bach-Nelkenwurz
K: Pariser-Hexenkraut, Hängende Segge, Wald-Brustwurz 
M: Bingelkraut, Wald-Zwenke, Wolliger und Gemeiner Schneeball (wenn kalkhaltig)
";−;26, 27;4;
26c;Ahorn-Eschenwald mit Waldschachtelhalm;Aceri-Fraxinetum equisetosum silvaticae;"PR: Mässig wüchsig, kleines Spektrum an Baumarten; nur auf stabilen Teilflächen bedingt wirtschaftlich nutzbar.
NG: Wegen Gleyboden grosse Bedeutung; mit Dauerbestockung können Wasserabfluss und Stabilität positiv beeinflusst werden.
NS: Wenig bedeutend.";"N: Ta unter Schirm, Übrige in Lücken an günstigen Kleinstandorten.
Durch schwache Lichtungshiebe wird genügend Vorverjüngung erreicht; Lichtschächte für BAh. 
Einzel- bis Gruppenplenterung.
U: Überführung in Plenterstruktur ist oberstes Ziel auf diesem nass-sauren Standort! Früh punktuelle Vorverjüngung auf ganzer Fläche einleiten oder Vorhandenes fördern, insbesondere auch Vorwaldarten. Gesunde, stabile Einzelbäume (aller Baumarten) mit grösster Lebenserwartung stehen lassen.";"N: Kann sich auf Schlagpflege nach Plentereingriff beschränken.
Mischungsform: Einzeln bis truppweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur, insbesondere kleinflächiges Abdecken von Verjüngungskegeln. 
Vorwaldarten nutzen, v. a. VBe und HBi.";"Mässig wüchsige Mischwälder mit sehr hohem Ta- und Fi-Anteil. 
Bevorzugt auf vergleyten, schwach geneigten Hangterrassen. Boden saurer und nährstoffärmer als 26, mit geringer Aktivität, dadurch Moder-Auflage. Erschwerte Keimung der Laubhölzer.";"obermontan; 900-1300m";"C: 	Heidelbeere, Breiter Wurmfarn, Ta-mariskenmoos, Wald-Frauenhaar
D: 	Weiblicher Waldfarn
K: 	Wald Schachtelhalm, Pariser-Hexenkraut, Welliges Sternmoos
 ";VBe, HBi;26, 27;4;
26h;Ahorn-Eschenwald, Höhenausb.;Aceri-Fraxinetum, Höhenausb.;"PR: Produktiver Standort für Edellaubhölzer; aufgrund der Meereshöhe begrenzt nutzbar, BAh im Vordergrund; Vernässungen schränken Befahrbarkeit ein und erschweren Holzernte.
NG: Oft vernässt; in Hanglagen von grosser Bedeutung; biologische Entwässerung und Dauerbestockung sind zentral.
NS: Als feuchter bis nasser Standort von besonderer Bedeutung, vor allem wenn kalkhaltig.";"N: Vorverjüngung und Anwuchs oft unter lichtem Schirm und in kleinen Lücken, Ta unter Schirm, für Aufwuchs Öffnungen schaffen.
Verjüngungshiebe in Gruppen- bis Horstgrösse.
Verjüngungszeiträume auf BAh ausrichten.
Femelschlag, eher grossflächig.
Im Schutzwald: BAh und Ta mit grossem Anteil. Hier: Kleinflächiger Femelschlag bis Gruppenplenterung.
 ";"Mischungsregulierung ab Beginn Dickung, Durchforstung bis Ende BH 1; kurze Intervalle; auf grosse Kronen achten.
Mit positiver Auslese und konsequenter Kronenpflege: Wertvolle Sortimente bei einer Umtriebszeit von ca. 100 Jahren, v.a. BAh, ev. BUl und Ta. 
Mischungsform: Trupp- bis gruppenweise.
Im Schutzwald: Ta einzeln bis truppweise; Laubhölzer trupp- bis gruppenweise; Standfestigkeit der Einzelbäume als Hauptziel.
";"Wüchsige Laubwälder mit beigemischtem Nadelholz, mit üppigem Unterwuchs, meist in Hangfuss- und Muldenlagen. 
Boden zeitweise bis in den Oberboden vernässt, teils basenreich.
 ";"obermontan; 900-1300m";"E: 	Waldmeister, Wald-Veilchen
F: Aronstab, Berg-Goldnessel, Baumtropf 
G: 	Bärlauch (wenn kalkreich)
H: 	Wal-Ziest, tt,  Wald-Springkraut, Berg-Kerbel, Wolliger Hahnenfuss
I: 	Sumpf-Dotterblum
K: 	Pariser-Hexenkraut, Wald-Brustwurz
L: Quirlblättriger Salomonssiegel
M: Bingelkraut, Wald-Zwenke (wenn kalkhaltig)";−;26, 27;4;
26P;Ahorn-Eschenwald, wechselfeuchte Ausb. tiefer Lagen;Aceri-Fraxinetum, wechselfeuchte Ausb. tiefer Lagen;"PR: In der Regel kein Wirtschaftswald, da zu unstabil; vereinzelt in grösseren, flachen Partien nutzbar.
NG: Grösste Bedeutung, da oft in Bacheinhängen, oft rutschig!
NS: Sehr bedeutend, da meist offene, wilde Strukturen, wechselfeucht und kalkreich.";"N: In den lichten Beständen gute Verjüngung aller Baumarten. Aufwuchs erfolgt meist einzeln oder truppweise; für Schutzfunktion optimal.
Einzel- bis Gruppenplenterung.
U: Selten vorhanden; durch Lichtungshieb Vorverjüngung einleiten, falls notwendig. Aufwuchs kleinflächig rasch abdecken.";"Punktuelle Eingriffe mit Auflichtungen, um stabile Einzelbäume zu fördern. Auf tiefen Schlankheitsgrad, v.a. der Es, achten. In Bacheinhängen schwere Einzelbäume fällen.
Mischungsform: Einzeln bis truppweise.";"Ziemlich wüchsige, lichte Laubmisch-wälder auf Rutschflächen und an Bacheinhängen, oft mit Wasseraustritten und Tuffbildungen. Unterwuchs artenreich, oft grasiger Aspekt. 
Boden mergelig, meist bewegt und wenig entwickelt, bei Regen bis in den Oberboden vernässt, zeitweise stark austrocknend.
";"untermontan; 700-1000m";"E: Wald-Veilchen
F: Berg-Goldnessel, Baumtropf
H: Wald-Ziest
J: Kohldistel
K: Wald-Brustwurz
M: Bingelkraut, Wald-Zwenke, Wolliger Schneeball, Seidelbast
O: Schlaffe Segge, Buntes Reitgras, Liguster, Berg-Flockenblume, Wald-Witwenblume";−;26, 27;3;
26w;Ahorn-Eschenwald mit Schlaffer Segge;Aceri-Fraxinetum calamagrostietosum variae;"PR: Meist kein Wirtschaftswald, da zu unstabil; vereinzelt in grösseren, flachen Partien nutzbar.
NG: Grösste Bedeutung, da oft in Bacheinhängen, oft rutschig!
NS: Sehr bedeutend, da meist offene, wilde Strukturen, wechselfeucht und kalkreich.";"N: In den lichten Beständen gute Verjüngung aller Baumarten. Aufwuchs erfolgt meist einzeln oder truppweise; für Schutzfunktion optimal.
Einzel- bis Gruppenplenterung.
U: Selten vorhanden; durch Lichtungshieb Vorverjüngung einleiten, falls notwendig. Aufwuchs kleinflächig rasch abdecken.";"Punktuelle Eingriffe mit leichten Auflichtungen, um stabile Einzelbäume zu fördern. Auf tiefen Schlankheitsgrad achten. Schneedruckgefährdung bei Jungwaldflächen mit dicht stehenden und schlanken Es. In Bacheinhängen schwere Einzelbäume fällen.
Mischungsform: Einzeln bis truppweise";"Mässig wüchsige, lichte Laubmischwälder auf Rutschflächen und an Bacheinhängen, oft mit Wasseraustritten und Tuffbildungen. Unterwuchs artenreich, oft grasiger Aspekt. 
Boden mergelig, meist bewegt und wenig entwickelt, bei Regen bis in den Oberboden vernässt, zeitweise stark austrocknend.";"obermontan; 900-1300m";"E: Wald-Veilchen
F: Berg-Goldnessel
H: Wald-Ziest, Wolliger Hahnenfuss
J: Kohl-Distel
K: Wald-Brustwurz
M: Bindelkraut, Wald-Zwenke, Wolliger Schneeball, Seidelbast
O: Buntes Reitgras, Berg-Flockenblume, Wald-Witwenblume, Alpenmasslieb";−;26, 27;4;
27;Bach-Eschenwald;Carici remotae-Fraxinetum;"PR: Sehr wüchsiger Standort, aber nur geeignet für Es und SEr; Vernässungen schränken Befahrbarkeit stark ein und erschweren Holzernte.
NG: Ausserordentliche Bedeutung entlang von Bächen; wichtig auch in ausgedehnten Nassflächen.
NS: Markante Nässe bietet ausserordentliche Bedingungen für viele Pflanzen und Tiere.";"N: Vereinzelt unter Schirm, schon bei schwachen Auflichtungen freudig.
Auf geeigneten Flächen Verjüngungshiebe bis Gruppengrösse, sehr kurze Verjüngungszeiträume.
Grossflächiger Femelschlag.
Im Schutzwald: Auf Dauerbestockung achten! Kleinflächig arbeiten. Kleinflächiger Femelschlag.
U: Grosse Gefahr des Windwurfs in Fichten-Altbeständen! Vorverjüngung durch Auflichtung einleiten. Sorgfältiges Öffnen, auf vorhandene Ansamung und windgeschützte Stellen ausrichten. Räumung des Altbestandes Anfang Dickung (labile Phase mit gelichtetem Bestand möglichst kurz halten). Schlagränder mit langkronigen Einzelbäumen.";"Mischungsregulierung ab Ende Jungwuchs; Durchforstung bis BH 2 (Kronenpflege).
Positive Auslese und Pflege sehr lohnend!
Mischungsform: Gruppen- bis horstweise.
Im Schutzwald: Bäume in Bacheinhängen nicht zu schwer werden lassen, schief stehende Bäume fällen. 

";"Sehr wüchsige Eschenmischwälder mit üppiger Krautschicht an Bächen oder Quellaufstössen, ebenso in vernässten Mulden und auf Terrassen. 
Boden sehr aktiv, dauernd wassergesättigt und wegen Zufuhrlage nährstoff- und basenreich.";"submontan, untermontan; 500-1000m";"E: 	Waldmeister, Wald-Veilchen 
F: 	Berg-Goldnessel, Baumtropf
H: 	Wald-Ziest, Wald-Springkraut
I: 	Sumpf-Dotterblume, Riesenschachtelhalm, Sumpf-Pippau, Bach-Nelkenwurz, Wiesen-Spierstaude, Milzkraut 
K: 	Pariser-Hexenkraut, Wald-Brustwurz";−;26, 27;5;
27h;Bach-Eschenwald, Höhenausbildung;Carici remotae-Fraxinetum, Ausb. mit Petasites albus;"PR: Wüchsiger Standort, aber nur geeignet für Es, bedingt für BAh und Ta; Vernässungen schränken Befahrbarkeit stark ein und erschweren Holzernte. Meist kein Wirtschaftswald.
NG: Ausserordentliche Bedeutung entlang von Bächen; wichtig auch in ausgedehnten Nassflächen.
NS: Markante Nässe bietet ausserordentliche Bedingungen für viele Pflanzen und Tiere.";"N: Ta unter Schirm, Übrige vereinzelt; schon bei schwachen Auflichtungen Lbh freudig.
Auf geeigneten Flächen Verjüngungshiebe bis Gruppengrösse, eher kurze Verjüngungszeiträume.
Kleinflächiger Femelschlag oder Gruppenplenterung.
Im Schutzwald: Auf Dauerbestockung achten! Kleinflächig arbeiten. Gruppenplenterung.
U: Grosse Gefahr des Windwurfs in Fichten-Altbeständen! Vorverjüngung durch Auflichtung einleiten. Sorgfältiges Öffnen auf vorhandene Ansamung und windgeschützte Stellen ausrichten. Räumung des Altbestandes Anfang Dickung. ";"Mischungsregulierung ab Ende Jungwuchs; Durchforstung bis BH 1 (Kronenpflege).
Mischungsform: Gruppenweise.
Im Schutzwald: Bäume in Bacheinhängen nicht zu schwer werden lassen, schief stehende Bäume fällen. ";"Wüchsige Eschenmischwälder mit Ta-Beimischung; üppige Krautschicht an Bächen oder Quellaufstössen, ebenso in vernässten Mulden und auf Terrassen. 
Boden sehr aktiv, dauernd wassergesättigt und wegen Zufuhrlage nährstoff- und basenreich.";"obermontan; 900-1300m";"E: Wald-Veilchen 
F: Berg-Goldnessel	
H: 	Wald-Ziest, Wald-Springkraut
I: Sumpf-Dotterblume
Sumpf-Pippau, Bach-Nelkenwurz, Milzkraut 
K: Wald-Brustwurz";−;26, 27;5;
28;Ulmen-Eschen-Auenwald;Ulmo-Fraxinetum equisetosum hyemalis;"PR: Sehr produktiver und vielseitiger Standort; oft aber nur klein und schwer zugänglich.
NG: Periodisch von Hochwasser überschwemmt, an der regulierten Reuss nur mehr in Extremfällen.
NS: Durch Kalkreichtum und Dynamik sehr wertvoll, sehr reichhaltige Strauchschicht.";"N: Meist auffallend üppige Verjüngung unter Schirm und in Lücken, trotz 'Konkurrenz' durch viele Sträucher.
Verjüngung wenn nötig durch Lichtungshiebe fördern; stark deckende Sträucher vorgängig auf Stock setzen.
Verjüngungsflächen in Gruppen- bis Horstgrösse.
Grossflächiger Femelschlag.
U: Je nach vorhandener Ansamung mit starkem Lichtungshieb die Verjüngung verstärken.";"N: Mischungsregulierung ab Ende Jungwuchs; Durchforstung bis BH 2, grosse Kronen ausbilden.
Spezialitäten wie FUl und SAh fördern, einzeln bis truppweise beigemischt oder zumindest in Nebenbestand mitnehmen.
Positive Auslese und Pflege lohnend.
Mischungsform: Trupp- bis gruppenweise.
U: Räumung des Altbestandes in Dickung; Mischungsregulierung mit Schlagräumung.";"Sehr wüchsige Eschenmischwälder der Hartholzauen, die heute kaum mehr überschwemmt, jedoch vom Grundwasser beeinflusst werden. Unterwuchs artenreich und vielfältig. 
Skelettreiche, nährstoff- und basenreiche, gut durchlässige Auenböden.
 ";"submontan; 400-500m";"E: 	Busch-Windröschen
F: 	Berg-Goldnessel, Baumtropf 
G: Bärlauch
H: Wald-Ziest, Wald-Springkraut
I: Scharfkantige Segge
K: 	Grosses Zweiblatt, Gundelrebe, Wald-Brustwurz
M: Bingelkraut, Wald-Zwenke, Wolliger Schneeball, Seidelbast, Feld-Rose; weitere Kalkzeiger!
";−;"28,29,
30,32";4;4
29;Ulmen-Eschenwald;Ulmo-Fraxinetum typicum;"PR: Produktiver Standort, Befahrbarkeit eingeschränkt.
NG: Wichtige Funktion als Wasserspeicher in flacher Lage, biologische Entwässerung wichtig.
NS: Wertvoller Nassstandort.";"N: Unter Schirm; in kleinen Öffnungen reichlich. Durch Lichtungshiebe wird genügende Verjüngung erreicht. Verjüngungsflächen bis Horstgrösse.
Mittel- bis grossflächiger Femelschlag (oft ausgedehnte Flächen in ebener Lage).
U: Durch sorgfältige Lichtungshiebe Vorverjüngung auslösen; v.a. um bestehende Verjüngungsflächen. Hauptwindrichtung beachten. Räumung des Altbestandes in Gruppengrösse ab Anfang Dickung.
";"N: Mischungsregulierung ab Beginn  Dickung; Durchforstung bis BH 2. Kurze Intervalle; auf grosse Kronen achten.
Positive Auslese und Pflege sehr lohnend. 
Mischungsform: Laubholz trupp- bis gruppenweise, Ta einzeln bis truppweise beigemischt.
U: Mischungsregulierung Ende Dickung, gleichzeitig Erweiterung der Verjüngungsflächen um 1 Baumlänge.";"Wüchsige Eschenmischwälder in lehmreichen Plateaulagen. Unterwuchs gut ausgebildet, jedoch nicht sehr vielfältig. 
Boden schluffig-tonig und zeitweise vernässt, wegen raschen Abbaus nährstoff- und basenreich bis neutral, oft entwässert.";"submontan, untermontan; 400-900m";"E: 	Waldmeister, Wald-Veilchen 
F: 	Berg-Goldnessel, Baumtropf
H: 	Wald-Ziest, Wald-Springkraut, Rasen-Schmiele
K: 	Welliges Sternmoos, Pariser-Hexenkraut, Hängende Segge, Wald-Gilbweiderich
M: Roter Hartriegel";−;"28,29,
30,32";4;
29A;Zweiblatt-Eschen-Auenwald;Ulmo-Fraxinetum listeretosum;"PR: Sehr produktiver und vielseitiger Standort; oft aber nur klein und schwer zugänglich.
NG: Periodisch von Hochwasser überschwemmt, an der regulierten Reuss nur mehr in Extremfällen.
NS: Durch Kalkreichtum und Dynamik sehr wertvoll, sehr reichhaltige Strauchschicht.";"N: Meist auffallend üppige Verjüngung unter Schirm und in Lücken, trotz 'Konkurrenz' durch viele Sträucher.
Verjüngung wenn nötig durch Lichtungshiebe fördern; stark deckende Sträucher vorgängig auf Stock setzen.
Verjüngungsflächen in Gruppen- bis Horstgrösse.
Grossflächiger Femelschlag.
U: Je nach vorhandener Ansamung mit starkem Lichtungshieb die Verjüngung verstärken.";"N: Mischungsregulierung ab Ende Jungwuchs; Durchforstung bis BH 2, grosse Kronen ausbilden.
Spezialitäten wie FUl und SAh fördern, einzeln bis truppweise beigemischt oder zumindest in Nebenbestand mitnehmen.
Positive Auslese und Pflege lohnend.
Mischungsform: Trupp- bis gruppenweise.
U: Räumung des Altbestandes in Dickung; Mischungsregulierung mit Schlagräumung.
";"Sehr wüchsige Eschenmischwälder der Hartholzauen, die heute kaum mehr überschwemmt, jedoch vom Grundwasser beeinflusst werden. Unterwuchs artenreich und vielfältig. 
Skelettreiche, nährstoff- und basenreiche, gut durchlässige Auenböden, oft mit Lehmschicht.
 ";"submontan, untermontan; 400-900m";"F: 	Berg-Goldnessel, Baumtropf 
G: Bärlauch (örtlich)
H: Wald-Ziest, Wald-Springkraut, Segge
K: 	Grosses Zweiblatt, Gundelrebe, Wald-Brustwurz
M: Bingelkraut, Wald-Zwenke, Wolliger Schneeball, Seidelbast, Feld-Rose; weitere Kalkzeiger!
 ";−;"28,29,
30,32";3;
